currency code,currency name
2GIVE,GiveCoin
ABY,ArtByte
ACT,Achain
ADA,Cardano
ADT,adToken
AGI,SingularityNET
AID,AidCoin
AION,Aion
AMBER,AmberCoin
ANT,Aragon
ARK,Ark
ATB,ATBCoin
ATM,ATMChain
AVT,Aventus
B3,B3Coin
BAT,Basic-Attention-Token
BCD,Bitcoin-Diamond
BCH,Bitcoin-Cash
BFT,BF-Token
BITB,BitBean
BNB,Binance-Coin
BNT,Bancor-Network-Token
BQ,bitqy
BTC,Bitcoin
BTCP,Bitcoin-Private
BTG,Bitcoin-Gold
BTS,BitShares
BTX,Bitcore
BURST,Burstcoin
BUZZ,BuzzCoin
CANN,CannabisCoin
CCRB,CryptoCarbon
CFI,Cofound-it
CLOAK,CloakCoin
CND,Cindicator
CNX,Cryptonex
COSS,COSS
CVC,Civic
DAI,Dai
DASH,Dash
DATA,DATAcoin
DGB,DigiByte
DGD,DigixDAO
DMD,Diamond
DOGE,DogeCoin
DTA,Data
EDG,Edgeless
EDO,Eidoo
EGC,EverGreenCoin
ELF,aelf
EMB,Embercoin
EMC,Emercoin
EOS,EOS
ETC,Ethereum-Classic
ETH,Ethereum
ETHOS,Ethos
ETP,Metaverse-Entropy
FRST,FirstCoin
FUN,FunFair
GAME,GameCredits
GAS,Gas
GCR,GCRCoin
GNO,Gnosis-Token
GNT,Golem-Tokens
GRC,Gridcoin
GRS,Groestlcoin
HMQ,Humaniq
HVN,Hive
ICN,ICONOMI
ICX,ICON
IFT,investFeed
INK,Ink
IOP,Internet-of-People
IOST,IOStoken
IOTA,IOTA
IXC,iXcoin
IXT,InsureX
KICK,KickCoin
KIN,KIN
KNC,Kyber-Network
LCC,Litecoin-Cash
LINDA,Linda
LKK,Lykke
LRC,Loopring
LSK,Lisk
LTC,Litecoin
MANA,Decentraland
MAX,Maxcoin
MCAP,MCAP
MCO,Monaco
MGO,MobileGo
MITH,Mithril
MKR,Maker
MLN,Melon
MNX,MinexCoin
MTN,MedToken
NANO,Nano
NDC,NeverDie-Coin
NEO,NEO
NLC2,NoLimitCoin
NMC,Namecoin
NPXS,Pundi-X-Token
NSR,NuShares
OBITS,Obits
ODEM,ODEM
OMG,OmiseGo
ONION,DeepOnion
PAY,TenX
PING,CryptoPing
PIVX,PIVX
PLBT,Polybius
POA,POA-Network
POLY,Polymath
POSW,PoSW-Coin
PPC,Peercoin
PPT,Populous
PPY,Peerplays
PRG,Paragon-Coin
PRO,Propy
QASH,QASH
QTUM,Qtum
R,Revain
RBIES,Rubies
RCN,Ripio-Credit-Network
RDD,ReddCoin
RDN,Raiden-Network-Token
REC,Regalcoin
REP,Augur
REQ,Request-Network
RHOC,RChain
RISE,Rise
RLC,RLC-Token
RLT,RouletteToken
RRT,Recovery-Right-Tokens
SAN,Santiment-Network-Token
SBTC,Super-Bitcoin
SHIFT,SHIFT
SIB,SIBCoin
SIGT,Signatum
SLR,SolarCoin
SMART,SmartCash
SNC,SunContract
SNGLS,SingularDTV
SNM,SONM
SNT,Status-Network-Token
SRN,Sirin-Labs-Token
START,Startcoin
STORJ,Storj
STORM,Storm
STQ,Storiqa
STRAT,Stratis
SYS,SysCoin
TAAS,Taas
THETA,Theta-Token
TIME,Time
TKN,TokenCard
TNB,Time-New-Bank
TNT,Tierion
TOA,ToaCoin
TRC,Terracoin
TRST,Trustcoin
TRX,Tronix
TUSD,TrueUSD
USDT,Tether
UTK,UTrust
VEE,BLOCKv
VIA,Viacoin
VIB,Viberate
VOISE,Voise
VPN,VPNCoin
VRS,Veros
VTC,Vertcoin
WAVES,Waves
WAX,Wax-Token
WGO,WavesGo
WGR,Wagerr
WPR,WePower
XBY,XtraBYtes
XEM,NEM
XLM,Stellar
XMR,Monero
XMT,Metal
XRL,Rialto
XRP,Ripple
XTZ,Tezos
XVG,Verge
XZC,ZCoin
YOYOW,YOYOW
ZEC,Zcash
ZEN,ZenCash
ZET,Zetacoin
ZIL,Zilliqa
ZRX,0x
